id,theme,categorie,difficulte,type,question,reponse,choix2,choix3,choix4,explication,indices,media_url,media_debut,media_duree,actif,utilisations,epoque,anecdote
Q2319,Sciences,Dates,2,QCM,📅 Que s'est-il passé en 1928 ?,La découverte de la pénicilline,La description de la double hélice de l'ADN,"Le premier vol habité en ballon, par les frères Montgolfier",Le premier homme dans l'espace,Alexander Fleming la doit à une négligence : une moisissure avait envahi une boîte oubliée.,,,0,15,oui,0,Avant 1970,
Q2320,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1936 ?,Les premiers congés payés en France,La dissolution de l'URSS,L'abolition de l'esclavage aux États-Unis,La bataille de Waterloo,"Deux semaines accordées par le Front populaire, en même temps que la semaine de 40 heures.",,,0,15,oui,0,Avant 1970,
Q2321,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1944 ?,Le droit de vote accordé aux femmes françaises,L'armistice de la Première Guerre mondiale,La catastrophe de Tchernobyl,L'inauguration de la tour Eiffel,Une ordonnance d'avril 1944 : elles votent pour la première fois aux municipales de 1945.,,,0,15,oui,0,Avant 1970,
Q2322,Histoire,Dates,1,QCM,📅 Que s'est-il passé en 1945 ?,La capitulation de l'Allemagne nazie,La bataille de Waterloo,Le naufrage du Titanic,La Déclaration universelle des droits de l'homme,Signée le 8 mai à Berlin. La guerre se poursuit dans le Pacifique jusqu'en septembre.,,,0,15,oui,0,Avant 1970,
Q2323,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1947 ?,L'indépendance de l'Inde,L'entrée en vigueur du traité de Maastricht,La Déclaration des droits de l'homme et du citoyen,La proclamation de la Troisième République française,"Obtenue après trente ans de lutte non violente menée par Gandhi, et accompagnée d'une partition sanglante.",,,0,15,oui,0,Avant 1970,
Q2324,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1948 ?,La Déclaration universelle des droits de l'homme,La proclamation de la Deuxième République française,La Déclaration des droits de l'homme et du citoyen,La première élection de Nelson Mandela,"Adoptée par l'ONU à Paris, elle a été traduite en plus de cinq cents langues.",,,0,15,oui,0,Avant 1970,
Q2325,Histoire,Dates,4,QCM,📅 Que s'est-il passé en 1949 ?,La création de l'OTAN,La découverte du tombeau de Toutânkhamon,L'inauguration de la tour Eiffel,La réunification de l'Allemagne,"Douze pays signataires au départ, dont la France, pour organiser la défense de l'Atlantique nord.",,,0,15,oui,0,Avant 1970,
Q2326,Sciences,Dates,3,QCM,📅 Que s'est-il passé en 1953 ?,La description de la double hélice de l'ADN,La découverte de la pénicilline,"Le premier vol habité en ballon, par les frères Montgolfier",La première image d'un trou noir,"Watson et Crick s'appuient sur les clichés de Rosalind Franklin, longtemps restée dans l'ombre.",,,0,15,oui,0,Avant 1970,
Q2327,Sciences,Dates,3,QCM,📅 Que s'est-il passé en 1957 ?,Le lancement de Spoutnik 1,L'identification du virus du sida à l'Institut Pasteur,"Le premier vol habité en ballon, par les frères Montgolfier",La première image d'un trou noir,Une sphère de 58 cm qui émettait un simple bip : elle a déclenché la course à l'espace.,,,0,15,oui,0,Avant 1970,
Q2328,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1958 ?,Le retour au pouvoir du général de Gaulle,L'entrée en vigueur du traité de Maastricht,La Déclaration universelle des droits de l'homme,La chute du mur de Berlin,La crise d'Algérie le ramène aux affaires : il fait adopter une nouvelle Constitution la même année.,,,0,15,oui,0,Avant 1970,
Q2329,Sciences,Dates,2,QCM,📅 Que s'est-il passé en 1961 ?,Le premier homme dans l'espace,La description de la double hélice de l'ADN,La première image d'un trou noir,La découverte de la pénicilline,Youri Gagarine a fait un tour complet de la Terre en 108 minutes.,,,0,15,oui,0,Avant 1970,
Q2330,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1962 ?,L'indépendance de l'Algérie,La bataille de Waterloo,Les événements de Mai 68 en France,La dissolution de l'URSS,Les accords d'Évian mettent fin à huit ans de guerre et à cent trente ans de présence française.,,,0,15,oui,0,Avant 1970,
Q2331,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1963 ?,L'assassinat de John F. Kennedy,La catastrophe de Tchernobyl,La Déclaration des droits de l'homme et du citoyen,La première élection de Nelson Mandela,"À Dallas, le 22 novembre. La commission d'enquête n'a jamais fait taire les soupçons.",,,0,15,oui,0,Avant 1970,
Q2332,Sport,Dates,4,QCM,📅 Que s'est-il passé en 1966 ?,L'Angleterre championne du monde de football,Les Jeux olympiques de Paris,Le premier Tour de France cycliste,La découverte de la pénicilline,"Son seul titre à ce jour, obtenu à domicile face à l'Allemagne, avec un but resté contesté.",,,0,15,oui,0,Avant 1970,
Q2333,Sciences,Dates,3,QCM,📅 Que s'est-il passé en 1967 ?,La première greffe de cœur,Le premier microprocesseur,L'identification du virus du sida à l'Institut Pasteur,Le lancement de Spoutnik 1,"Réalisée au Cap par Christiaan Barnard ; le patient a survécu dix-huit jours.",,,0,15,oui,0,Avant 1970,
Q2334,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1968 ?,Les événements de Mai 68 en France,Le début de la guerre de Sécession américaine,L'inauguration de la tour Eiffel,La Déclaration universelle des droits de l'homme,"Grève générale de plusieurs millions de salariés, la plus importante de l'histoire du pays.",,,0,15,oui,0,Avant 1970,
Q2335,Musique,Dates,3,QCM,📅 Que s'est-il passé en 1969 ?,Le festival de Woodstock,La séparation des Beatles,La mort d'Elvis Presley,La mort de Freddie Mercury,"Trois jours de concerts et près de 400 000 spectateurs, dans une ferme de l'État de New York.",,,0,15,oui,0,Avant 1970,
Q2336,Musique,Dates,3,QCM,📅 Que s'est-il passé en 1970 ?,La séparation des Beatles,Le festival de Woodstock,La mort d'Elvis Presley,La mort de Freddie Mercury,"Paul McCartney annonce son départ en avril, huit ans après le premier disque du groupe.",,,0,15,oui,0,Années 70,
Q2337,Sciences,Dates,4,QCM,📅 Que s'est-il passé en 1971 ?,Le premier microprocesseur,Le premier homme dans l'espace,"Le premier vol habité en ballon, par les frères Montgolfier",La première image d'un trou noir,"L'Intel 4004 tenait 2 300 transistors sur une puce ; un processeur actuel en compte des dizaines de milliards.",,,0,15,oui,0,Années 70,
Q2338,Histoire,Dates,4,QCM,📅 Que s'est-il passé en 1974 ?,L'élection de Valéry Giscard d'Estaing,La signature du traité de Versailles,La découverte du tombeau de Toutânkhamon,L'entrée en vigueur du traité de Maastricht,"À 48 ans, il devient le plus jeune président de la Ve République, élu de justesse face à Mitterrand.",,,0,15,oui,0,Années 70,
Q2339,Musique,Dates,3,QCM,📅 Que s'est-il passé en 1977 ?,La mort d'Elvis Presley,La séparation des Beatles,La mort de Freddie Mercury,Le festival de Woodstock,"À 42 ans, dans sa maison de Graceland, devenue depuis le deuxième domicile le plus visité des États-Unis.",,,0,15,oui,0,Années 70,
Q2340,Divers,Dates,3,QCM,📅 Que s'est-il passé en 1979 ?,La sortie du premier baladeur Sony,La création de Facebook,La sortie du premier iPad,La création de YouTube,Le Walkman a fait de la musique une affaire privée : plus de 200 millions d'exemplaires vendus.,,,0,15,oui,0,Années 70,
Q2341,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1981 ?,L'abolition de la peine de mort en France,L'assassinat de John F. Kennedy,La chute du mur de Berlin,La signature du traité de Versailles,"Portée par Robert Badinter, quatre ans après la dernière exécution.",,,0,15,oui,0,Années 80,
Q2342,Cinéma,Dates,2,QCM,📅 Que s'est-il passé en 1982 ?,La sortie d'E.T. au cinéma,La sortie du premier Harry Potter au cinéma,La sortie de Titanic au cinéma,La première projection payante du cinématographe,Le film a détrôné Star Wars au box-office et tenu la tête pendant onze ans.,,,0,15,oui,0,Années 80,
Q2343,Sciences,Dates,4,QCM,📅 Que s'est-il passé en 1983 ?,L'identification du virus du sida à l'Institut Pasteur,La première greffe de cœur,La découverte de la pénicilline,La découverte du radium par Pierre et Marie Curie,Les travaux de Luc Montagnier et Françoise Barré-Sinoussi leur ont valu le prix Nobel en 2008.,,,0,15,oui,0,Années 80,
Q2344,Sciences,Dates,4,QCM,📅 Que s'est-il passé en 1985 ?,La découverte du trou dans la couche d'ozone,La description de la double hélice de l'ADN,La découverte de la pénicilline,L'identification du virus du sida à l'Institut Pasteur,"Observée au-dessus de l'Antarctique, elle a conduit deux ans plus tard à interdire les gaz responsables.",,,0,15,oui,0,Années 80,
Q2345,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1986 ?,La catastrophe de Tchernobyl,Les premiers congés payés en France,"La première traversée de l'Atlantique en solitaire, par Lindbergh",Les événements de Mai 68 en France,L'explosion du réacteur numéro 4 a contaminé une zone encore interdite aujourd'hui.,,,0,15,oui,0,Années 80,
Q2346,Histoire,Dates,1,QCM,📅 Que s'est-il passé en 1989 ?,La chute du mur de Berlin,L'élection de Valéry Giscard d'Estaing,La création de l'OTAN,La proclamation de la Deuxième République française,"Dans la nuit du 9 novembre, après vingt-huit ans de séparation, l'annonce d'un porte-parole suffit à ouvrir les postes-frontières.",,,0,15,oui,0,Années 80,
Q2347,Sciences,Dates,4,QCM,📅 Que s'est-il passé en 1989 ?,La naissance du World Wide Web,La première image d'un trou noir,La découverte du boson de Higgs,La première greffe de cœur,"Tim Berners-Lee en écrit le projet au CERN, pour que les chercheurs partagent leurs documents.",,,0,15,oui,0,Années 80,
Q2348,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1990 ?,La réunification de l'Allemagne,La révolution russe,L'inauguration de la tour Eiffel,La bataille de Waterloo,"Moins d'un an après la chute du mur, les deux États n'en forment plus qu'un, le 3 octobre.",,,0,15,oui,0,Années 90,
Q2349,Histoire,Dates,3,QCM,📅 Que s'est-il passé en 1991 ?,La dissolution de l'URSS,L'inauguration de la tour Eiffel,La réunification de l'Allemagne,Le coup d'État de Napoléon Bonaparte,"Quinze républiques indépendantes en sortent ; Gorbatchev démissionne le 25 décembre.",,,0,15,oui,0,Années 90,
Q2350,Musique,Dates,3,QCM,📅 Que s'est-il passé en 1991 ?,La mort de Freddie Mercury,Le festival de Woodstock,La séparation des Beatles,La mort d'Elvis Presley,"À 45 ans, quelques mois après le dernier album enregistré avec Queen.",,,0,15,oui,0,Années 90,
Q2351,Histoire,Dates,4,QCM,📅 Que s'est-il passé en 1993 ?,L'entrée en vigueur du traité de Maastricht,La Déclaration des droits de l'homme et du citoyen,Le coup d'État de Napoléon Bonaparte,L'armistice de la Première Guerre mondiale,"Il crée l'Union européenne et prépare la monnaie unique, adoptée neuf ans plus tard.",,,0,15,oui,0,Années 90,
Q2352,Histoire,Dates,2,QCM,📅 Que s'est-il passé en 1994 ?,La première élection de Nelson Mandela,La réunification de l'Allemagne,"La première traversée de l'Atlantique en solitaire, par Lindbergh",La proclamation de la Troisième République française,"Premier scrutin ouvert à tous les Sud-Africains, quatre ans après sa sortie de prison.",,,0,15,oui,0,Années 90,
Q2353,Géographie,Dates,3,QCM,📅 Que s'est-il passé en 1994 ?,L'ouverture du tunnel sous la Manche,La proclamation de la Troisième République française,La proclamation de la Deuxième République française,L'inauguration de la tour Eiffel,"50 km de tunnel, dont 38 sous la mer, après six ans de travaux et une vieille idée du XIXe siècle.",,,0,15,oui,0,Années 90,
Q2354,Cinéma,Dates,2,QCM,📅 Que s'est-il passé en 1997 ?,La sortie de Titanic au cinéma,La première projection payante du cinématographe,La sortie d'E.T. au cinéma,La sortie du premier Harry Potter au cinéma,"Le film est resté le plus gros succès mondial pendant douze ans, jusqu'à Avatar.",,,0,15,oui,0,Années 90,
Q2355,Cinéma,Dates,2,QCM,📅 Que s'est-il passé en 2001 ?,La sortie du premier Harry Potter au cinéma,La sortie de Titanic au cinéma,La sortie d'E.T. au cinéma,La première projection payante du cinématographe,Les trois acteurs principaux avaient 11 et 12 ans au début du tournage.,,,0,15,oui,0,Années 2000,
Q2356,Divers,Dates,3,QCM,📅 Que s'est-il passé en 2004 ?,La création de Facebook,La sortie du premier iPad,La sortie du premier baladeur Sony,La création de YouTube,"Lancé dans une chambre d'étudiant de Harvard, réservé au départ aux seuls élèves de l'université.",,,0,15,oui,0,Années 2000,
Q2357,Divers,Dates,3,QCM,📅 Que s'est-il passé en 2005 ?,La création de YouTube,La sortie du premier baladeur Sony,La création de Facebook,La sortie du premier iPad,"La première vidéo mise en ligne, 19 secondes au zoo de San Diego, est toujours visible.",,,0,15,oui,0,Années 2000,
Q2358,Actualité,Dates,3,QCM,📅 Que s'est-il passé en 2008 ?,La crise financière mondiale,L'accident nucléaire de Fukushima,Le référendum du Brexit,Le début de la pandémie de Covid-19,La faillite de la banque Lehman Brothers en septembre a entraîné la pire récession depuis 1929.,,,0,15,oui,0,Années 2000,
Q2359,Divers,Dates,3,QCM,📅 Que s'est-il passé en 2010 ?,La sortie du premier iPad,La création de Facebook,La sortie du premier baladeur Sony,La création de YouTube,"Apple en a vendu 15 millions la première année, créant un marché qui n'existait pas.",,,0,15,oui,0,Années 2010,
Q2360,Actualité,Dates,3,QCM,📅 Que s'est-il passé en 2011 ?,L'accident nucléaire de Fukushima,Le référendum du Brexit,La crise financière mondiale,Le début de la pandémie de Covid-19,Provoqué par un séisme et un tsunami : plus de 150 000 personnes ont été évacuées.,,,0,15,oui,0,Années 2010,
Q2361,Sciences,Dates,4,QCM,📅 Que s'est-il passé en 2012 ?,La découverte du boson de Higgs,"Le premier vol habité en ballon, par les frères Montgolfier",La découverte du radium par Pierre et Marie Curie,Le premier homme dans l'espace,Confirmée au CERN après quarante-huit ans de recherche et la construction du plus grand accélérateur du monde.,,,0,15,oui,0,Années 2010,
Q2362,Actualité,Dates,2,QCM,📅 Que s'est-il passé en 2016 ?,Le référendum du Brexit,Le début de la pandémie de Covid-19,L'accident nucléaire de Fukushima,La crise financière mondiale,"51,9 % des Britanniques votent pour la sortie de l'Union européenne, effective en 2020.",,,0,15,oui,0,Années 2010,
Q2363,Sciences,Dates,4,QCM,📅 Que s'est-il passé en 2019 ?,La première image d'un trou noir,"Le premier vol habité en ballon, par les frères Montgolfier",La description de la double hélice de l'ADN,La première greffe de cœur,"Obtenue en combinant huit radiotélescopes répartis sur la planète, soit un télescope de la taille de la Terre.",,,0,15,oui,0,Années 2010,
Q2364,Actualité,Dates,1,QCM,📅 Que s'est-il passé en 2020 ?,Le début de la pandémie de Covid-19,Le référendum du Brexit,L'accident nucléaire de Fukushima,La crise financière mondiale,"L'Organisation mondiale de la santé la déclare pandémie le 11 mars ; la moitié de l'humanité sera confinée.",,,0,15,oui,0,Années 2020,
Q2365,Sport,Dates,1,QCM,📅 Que s'est-il passé en 2024 ?,Les Jeux olympiques de Paris,L'Angleterre championne du monde de football,Le premier Tour de France cycliste,La catastrophe de Tchernobyl,"Cent ans après les Jeux de 1924, avec une cérémonie d'ouverture sur la Seine.",,,0,15,oui,0,Années 2020,
Q2366,Histoire,Dates,3,ORDRE,📅 Classez ces événements du plus ancien au plus récent.,L'abolition de la peine de mort en France | L'entrée en vigueur du traité de Maastricht | L'ouverture du tunnel sous la Manche | La sortie de Titanic au cinéma,Du plus ancien au plus récent,,,"1981, 1993, 1994, 1997 : abolition de la peine de mort en France, entrée en vigueur du traité de Maastricht, ouverture du tunnel sous la Manche, sortie de Titanic au cinéma.",,,0,15,oui,0,Années 80,
Q2367,Histoire,Dates,3,ORDRE,📅 Classez ces événements du plus ancien au plus récent.,La capitulation de l'Allemagne nazie | La séparation des Beatles | La création de YouTube | La première image d'un trou noir,Du plus ancien au plus récent,,,"1945, 1970, 2005, 2019 : capitulation de l'Allemagne nazie, séparation des Beatles, création de YouTube, première image d'un trou noir.",,,0,15,oui,0,Avant 1970,
Q2368,Histoire,Dates,3,ORDRE,📅 Classez ces événements du plus ancien au plus récent.,La bataille de Waterloo | La découverte du radium par Pierre et Marie Curie | L'Angleterre championne du monde de football | Les Jeux olympiques de Paris,Du plus ancien au plus récent,,,"1815, 1898, 1966, 2024 : bataille de Waterloo, découverte du radium par Pierre et Marie Curie, Angleterre championne du monde de football, s Jeux olympiques de Paris.",,,0,15,oui,0,Avant 1970,
Q2369,Histoire,Dates,3,ORDRE,📅 Classez ces événements du plus ancien au plus récent.,L'abolition de la peine de mort en France | La chute du mur de Berlin | L'accident nucléaire de Fukushima | Le début de la pandémie de Covid-19,Du plus ancien au plus récent,,,"1981, 1989, 2011, 2020 : abolition de la peine de mort en France, chute du mur de Berlin, accident nucléaire de Fukushima, début de la pandémie de Covid-19.",,,0,15,oui,0,Années 80,
Q2370,Histoire,Dates,3,ORDRE,📅 Classez ces événements du plus ancien au plus récent.,"La première traversée de l'Atlantique en solitaire, par Lindbergh | Le retour au pouvoir du général de Gaulle | La création de Facebook | La création de YouTube",Du plus ancien au plus récent,,,"1927, 1958, 2004, 2005 : première traversée de l'Atlantique en solitaire, par Lindbergh, retour au pouvoir du général de Gaulle, création de Facebook, création de YouTube.",,,0,15,oui,0,Avant 1970,
Q2371,Histoire,Dates,3,ORDRE,📅 Classez ces événements du plus ancien au plus récent.,La découverte du tombeau de Toutânkhamon | La description de la double hélice de l'ADN | L'Angleterre championne du monde de football | La première image d'un trou noir,Du plus ancien au plus récent,,,"1922, 1953, 1966, 2019 : découverte du tombeau de Toutânkhamon, description de la double hélice de l'ADN, Angleterre championne du monde de football, première image d'un trou noir.",,,0,15,oui,0,Avant 1970,
Q2372,Histoire,Dates,3,ORDRE,📅 Classez ces événements du plus ancien au plus récent.,La séparation des Beatles | Le premier microprocesseur | La dissolution de l'URSS | La sortie de Titanic au cinéma,Du plus ancien au plus récent,,,"1970, 1971, 1991, 1997 : séparation des Beatles, premier microprocesseur, dissolution de l'URSS, sortie de Titanic au cinéma.",,,0,15,oui,0,Années 70,
Q2373,Histoire,Dates,3,ORDRE,📅 Classez ces événements du plus ancien au plus récent.,"Le premier vol habité en ballon, par les frères Montgolfier | L'abolition de l'esclavage aux États-Unis | La découverte du radium par Pierre et Marie Curie | Les événements de Mai 68 en France",Du plus ancien au plus récent,,,"1783, 1865, 1898, 1968 : premier vol habité en ballon, par les frères Montgolfier, abolition de l'esclavage aux États-Unis, découverte du radium par Pierre et Marie Curie, s événements de Mai 68 en France.",,,0,15,oui,0,Avant 1970,
